,plotRatio,transactionDate,floorPrice,time,price
386,4.25,2012.8470319634703,360,2017.8552511415523,7750
387,1.3,2016.9906392694065,6500,2017.9961187214612,15000
388,2.0,2012.9522831050228,3110,2016.8184931506848,10000
389,2.0,2012.9522831050228,3010,2016.8184931506848,10000
390,3.5,2014.6216894977167,1575,2016.8020547945205,6200
391,5.0,2013.907305936073,2629,2018.1968036529681,11000
392,5.0,2013.907305936073,2629,2016.8020547945205,6600
393,2.3,2015.7433789954339,3156,2017.0082191780823,16000
394,2.5,2015.7433789954339,3313,2017.0082191780823,16000
395,1.25,2016.174885844749,12000,2017.0082191780823,16000
396,5.75,2013.9413242009134,699,2017.1244292237443,5600
397,1.5,2012.8321917808219,3955,2016.804794520548,9000
398,3.5,2015.2378995433792,1200,2016.8157534246575,6700
399,5.25,2013.907305936073,685,2017.1803652968038,4600
400,2.5,2015.1803652968038,1775,2016.8020547945205,7000
401,2.0,2013.9851598173516,5200,2016.8020547945205,13000
402,1.95,2013.8267123287671,7950,2016.8020547945205,13000
403,2.0,2013.9851598173516,5200,2016.8020547945205,13000
404,1.95,2013.8267123287671,7950,2016.8020547945205,13000
405,3.0,2011.9988584474886,1714,2016.8020547945205,6100
406,1.3,2016.9906392694065,6500,2017.4961187214612,17000
407,2.5,2016.0915525114156,6710,2016.804794520548,15000
408,3.5,2014.6216894977167,1463,2016.8020547945205,6500
409,3.5,2015.2378995433792,1200,2015.9550228310502,5500
410,5.25,2013.907305936073,1000,2014.5575342465754,5000
411,1.3,2016.9906392694065,6500,2017.4961187214612,17000
412,2.3,2015.7433789954339,3156,2016.6995433789955,12800
413,2.5,2015.7433789954339,3313,2016.6995433789955,12800
414,1.25,2016.174885844749,12000,2016.6995433789955,12800
415,5.25,2013.907305936073,685,2015.6803652968038,3700
416,4.25,2012.8470319634703,360,2017.5684931506848,5200
417,5.75,2013.9413242009134,699,2017.0575342465754,5700
418,5.0,2013.907305936073,2629,2018.0833333333333,11000
419,2.0,2013.9851598173516,5200,2017.4933789954339,16500
420,2.0,2013.9851598173516,5200,2017.629908675799,18000
421,2.0,2013.9851598173516,5200,2017.5246575342467,18000
422,2.0,2013.9851598173516,5200,2017.6666666666667,18000
423,1.95,2013.8267123287671,7950,2017.4933789954339,16500
424,1.95,2013.8267123287671,7950,2017.5246575342467,18000
425,1.95,2013.8267123287671,7950,2017.629908675799,18000
426,1.95,2013.8267123287671,7950,2017.6666666666667,18000
427,5.25,2013.907305936073,1000,2018.1995433789955,8300
428,5.25,2013.907305936073,1000,2018.2077625570778,8500
429,5.25,2013.907305936073,685,2017.5054794520547,6500
430,5.25,2013.907305936073,685,2017.5997716894976,6500
431,5.25,2013.907305936073,685,2017.5054794520547,6500
432,5.25,2013.907305936073,685,2017.5997716894976,6500
433,2.5,2015.5602739726028,2000,2017.629908675799,12000
434,4.25,2012.8470319634703,360,2017.9632420091325,7750
435,1.3,2016.9906392694065,6500,2018.271917808219,16200
436,2.0,2012.9522831050228,3110,2017.027397260274,10000
437,2.0,2012.9522831050228,3110,2016.8716894977167,10000
438,2.0,2012.9522831050228,3110,2016.9659817351599,10000
439,2.0,2012.9522831050228,3110,2017.1216894977167,10000
440,2.0,2012.9522831050228,3010,2017.027397260274,10000
441,2.0,2012.9522831050228,3010,2016.8716894977167,10000
442,2.0,2012.9522831050228,3010,2016.9659817351599,10000
443,2.0,2012.9522831050228,3010,2017.1216894977167,10000
444,3.5,2014.6216894977167,1575,2016.8963470319634,6200
445,3.5,2014.6216894977167,1575,2017.4155251141551,8500
446,5.0,2013.907305936073,2629,2016.8716894977167,6600
447,5.0,2013.907305936073,2629,2016.9933789954339,8000
448,5.0,2013.907305936073,2629,2017.088812785388,8000
449,5.0,2013.907305936073,2629,2017.2077625570778,8000
450,2.3,2015.7433789954339,3156,2017.0915525114156,16000
451,2.3,2015.7433789954339,3156,2017.1189497716894,20000
452,2.3,2015.7433789954339,3156,2017.2050228310502,20000
453,2.3,2015.7433789954339,3156,2017.352511415525,20000
454,2.5,2015.7433789954339,3313,2017.0915525114156,16000
455,2.5,2015.7433789954339,3313,2017.1189497716894,20000
456,2.5,2015.7433789954339,3313,2017.2050228310502,20000
457,2.5,2015.7433789954339,3313,2017.352511415525,20000
458,1.25,2016.174885844749,12000,2017.0915525114156,16000
459,1.25,2016.174885844749,12000,2017.1189497716894,20000
460,1.25,2016.174885844749,12000,2017.2050228310502,20000
461,1.25,2016.174885844749,12000,2017.352511415525,20000
462,5.75,2013.9413242009134,699,2017.2022831050228,5600
463,5.75,2013.9413242009134,699,2017.277397260274,6000
464,5.75,2013.9413242009134,699,2017.3212328767124,6400
465,5.75,2013.9413242009134,699,2017.401826484018,6400
466,5.75,2013.9413242009134,699,2017.4769406392695,6400
467,5.75,2013.9413242009134,699,2017.5493150684931,6500
468,1.5,2012.8321917808219,3955,2016.879908675799,8200
469,1.5,2012.8321917808219,3955,2016.9851598173516,9000
470,1.5,2012.8321917808219,3955,2017.2187214611872,10000
471,1.5,2012.8321917808219,3955,2017.0328767123287,9000
